,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Species ,Injuries,Species
1,Unprovoked,Standing,F,11,Minor injury to left thigh,N,,Injured,Regular Shark
2,Invalid,Surfing,M,48,Injury to left lower leg from surfboard skeg,N,,Injured,Regular Shark
3,Unprovoked,Surfing,M,,Minor injury to lower leg,N,2 m shark,Injured,Regular Shark
4,Provoked,Free diving,M,,Lacerations to leg & hand shark PROVOKED INCIDENT,N,"Tiger shark, 3m",Injured,Tiger Shark
6,Unprovoked,Swimming,M,18,FATAL,Y,Tiger shark,Injured,Tiger Shark
7,Unprovoked,Fishing,M,52,Minor injury to foot. PROVOKED INCIDENT,N,"Lemon shark, 3'",Injured,Regular Shark
8,Unprovoked,Walking,M,15,Lower left leg bitten,N,"Bull shark, 6'",Injured,Regular Shark
9,Unprovoked,Standing,M,12,Minor injury to foot,N,,Injured,Regular Shark
10,Provoked,Feeding sharks,M,32,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,Grey reef shark,Injured,Regular Shark
11,Unprovoked,Boogie boarding,M,10,Injuries to lower right leg and foot,N,,Injured,Regular Shark
12,Unprovoked,Swimming,M,10,Severe bite to right forearm,N,,Injured,Regular Shark
13,Invalid,Fishing,M,21,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,Invalid incident,Injured,Regular Shark
14,Provoked,Feeding sharks,F,34,Shallow lacerations to finger PROVOKED INCIDENT,N,"Tawny nurse shark, 2m",Injured,Regular Shark
15,Unprovoked,Surfing,M,,"Minor injury, marks on board",N,,Injured,Regular Shark
17,Unprovoked,Swimming,M,,Minor injury to ankle,N,,Injured,Regular Shark
23,Unprovoked,Fishing,M,32,5-inch cut to hand,N,Tiger shark,Injured,Tiger Shark
25,Unprovoked,Body boarding,M,29,Lacerations to right lower leg,N,6' shark,Injured,Regular Shark
26,Unprovoked,Swimming,M,54,Lacerations to foot and ankle,N,Juvenile bull shark,Injured,Regular Shark
27,Unprovoked,Swimming,M,34,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",,,Injured,Regular Shark
28,Unprovoked,Surfing,M,41,Laceration to right thigh,N,,Injured,Regular Shark
29,Unprovoked,Surfing,M,37,Lacerations to legs,N,,Injured,Regular Shark
31,Invalid,Fishing,M,56,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,Shark involvement not confirmed,Injured,Regular Shark
33,Unprovoked,Swimming,M,12,"2 puncture wounds to left foot, abrasion to right foot",N,Bull shark,Injured,Regular Shark
34,Unprovoked,Surfing,M,19,Lacerations to left knee & lower leg,N,White shark,Injured,White Shark
35,Unprovoked,Stand-Up Paddleboarding,M,25,Injuries to right leg & hand,N,"Tiger shark, 12'",Injured,Tiger Shark
36,Unprovoked,Wading,M,10,Minor injuries to legs,N,Wobbegong shark,Injured,Regular Shark
38,Unprovoked,Surfing,M,18,"Minor injury, ankle grazed",N,1.8 m shark,Injured,Regular Shark
39,Unprovoked,Scuba Diving,M,38, The shark & man simply collided; neither were injured,N,Blacktip shark,Injured,Regular Shark
40,Unprovoked,Swimming,F,55,Laceratons to right leg & foot,N,"Juvenile white shark,  2.7 to 3.2 m",Injured,White Shark
42,Unprovoked,Walking,M,35,Puncture wounds to leff foot & lower leg,N,"Bull shark, 2 m",Injured,Regular Shark
44,Invalid,Cleaning fish,F,46,Lacerations to 4 toes of right foot,N,"Injury believed caused by an eel, not a shark",Injured,Regular Shark
45,Unprovoked,Snorkeling,M,45,Injuries to right foot,N,Galapagos shark?,Injured,Regular Shark
47,Unprovoked,,M,18,Injuries to right leg,N,Bull shark,Injured,Regular Shark
48,Unprovoked,Spearfishing,M,40s,Injuries to abdomen and arm,N,"Bull shark, 3 m ",Injured,Regular Shark
49,Unprovoked,Diving,M,,Severe laceration to left forearm,N,Grey reef shark. 2 m,Injured,Regular Shark
51,Unprovoked,Surfing,M,20,Minor injury to left forearm,N,small shark,Injured,Regular Shark
52,Unprovoked,Surfing,M,,Foot bitten,N,Wobbegong shark?,Injured,Regular Shark
53,Unprovoked,Surfing,F,54,Severe lacerations to left thigh & knee,N,Tiger shark,Injured,Tiger Shark
54,Unprovoked,Surfing,F,35,Foot bitten,N,,Injured,Regular Shark
55,Provoked,Fishing / Wading,M,24,"Minor injury to thigh, PROVOKED INCIDENT",N,Juvenile nurse shark,Injured,Regular Shark
56,Unprovoked,Snorkeling,F,25,Minor injury to arm,N,Nurse shark. 5',Injured,Regular Shark
57,Unprovoked,Scuba Diving,M,26,Serious injury to leg,N,"Tiger shark, female",Injured,Tiger Shark
58,Unprovoked,Scuba diving,F,49,FATAL,Y,"Tiger shark, female",Injured,Tiger Shark
59,Sea Disaster,2 boats capsized,,,FATAL,Y,Some drowned but other may have been killed by blue sharks,Injured,Regular Shark
60,Unprovoked,Spearfishing,M,25,Right leg bitten,N,"White shark, 4.6 m",Injured,White Shark
61,Unprovoked,Surfing,F,14,Heel bitten,N,,Injured,Regular Shark
62,Unprovoked,Surfing,M,24,Puncture wounds to feet,N,,Injured,Regular Shark
63,Unprovoked,Surfing,M,25,Puncture wounds to left shoulder,N,2 m shark,Injured,Regular Shark
64,Unprovoked,Night bathing,M,22,FATAL,Y,Tiger shark,Injured,Tiger Shark
65,Unprovoked,Snorkeling,M,7,Calf injured,N,Cookiecutter shark,Injured,Regular Shark
66,Unprovoked,Surfing,M,31,Minor injury to foot,N,"Wobbegong shark, 1 m",Injured,Regular Shark
68,Unprovoked,Swimming,M,,Minor injury to foot,N,,Injured,Regular Shark
69,Unprovoked,Surfing ,M,17,Lacerations to left foot,N,,Injured,Regular Shark
70,Unprovoked,Swimming,F,60,Severe lacerations to left hand & wrist,N,,Injured,Regular Shark
71,Unprovoked,Kayaking / Fishing,F,15,Minor injuries,N,"White shark, 4.5 m",Injured,White Shark
73,Unprovoked,Swimming,M,,Puncture wounds & lacerations to foot,N,"Spinner shark, 4 to 5 feet",Injured,Regular Shark
74,Unprovoked,Surfing,M,54,Lacerations to left hand,N,"Tiger shark, 8 to 10 feet",Injured,Tiger Shark
75,Unprovoked,Snorkeling,F,40,Abrasions,N,8' shark,Injured,Regular Shark
76,Invalid,Scuba Diving,M,31,FATAL,,Death may have been due to drowning,Injured,Regular Shark
77,Unprovoked,Surfing,M,,Lacerations to lower left leg and foot,N,5' shark,Injured,Regular Shark
79,Invalid,Surfing,M,33,"Lacerations to right ankle, foot & toe",,Questionable,Injured,Regular Shark
80,Unprovoked,Surfing,M,,Laceration to upper arm,N,4' to 5' shark,Injured,Regular Shark
81,Unprovoked,Surfing,M,,Minor lacerations to sole of left foot,N,,Injured,Regular Shark
82,Unprovoked,Body surfing,M,13,Lacerations to right foot,N,"Porbeagle, 1.5 m",Injured,Regular Shark
83,Unprovoked,Surfing,M,28,Lacerations to left foot,N,,Injured,Regular Shark
84,Invalid,Scuba Diving,M,25,"FATAL, but death was probably due to drowning",,,Injured,Regular Shark
85,,Fishing,M,,Injuries to hands and legs,N,,Injured,Regular Shark
87,Unprovoked,Surfing,M,18,Lacerations to left foot,N,5' to 6' shark,Injured,Regular Shark
88,Unprovoked,Swimming,M,,Minor injuries,N,,Injured,Regular Shark
89,Unprovoked,Surfing,M,35,Minor lacerations to right hip,N,"White shark, 3 to 3.5m ",Injured,White Shark
90,Unprovoked,Spearfishing,M,,Foot bitten,N,,Injured,Regular Shark
91,Unprovoked,"Swimming, poaching abalone",M,,FATAL,Y,,Injured,Regular Shark
92,Unprovoked,Surfing,M,42,Injury to ankle & feet,N,,Injured,Regular Shark
93,Unprovoked,Swimming,M,,Lacerations to abdomen,N,Nurse shark,Injured,Regular Shark
94,Unprovoked,Swimming,F,,Lacerations to foot,N,,Injured,Regular Shark
95,Unprovoked,Surfing,M,17,Minor injury to right hand,N,,Injured,Regular Shark
97,Unprovoked,Wading,F,3,Leg injured,N,,Injured,Regular Shark
98,Invalid,Swimming,F,11,Lacerations to left foot,,Shark involvement questionable,Injured,Regular Shark
100,Unprovoked,SUP,M,69,Not injured by shark but board bitten,N,"White shark, 5' to 7'",Injured,White Shark
101,Unprovoked,Spearfishing,M,,Hand injured,N,5' shark,Injured,Regular Shark
102,Unprovoked,Swimming,M,13,Minor cuts to sole & toes of left foot,N,Possibly a juvenile blacktip shark,Injured,Regular Shark
103,Unprovoked,Snorkeling,F,20,Bite to right leg/hip,N,"Oceanic whitetip shark, 1.8 to 2 m",Injured,White Shark
104,Provoked,Fishing,M,34,Foot bitten by landed shark PROVOKED INCIDENT,N,4' shark,Injured,Regular Shark
106,Unprovoked,Skimboarding,M,15,Lacerations to lower leg,N,,Injured,Regular Shark
107,Invalid,Swimming,M,10,Abrasions and cuts to sole of foot,,A small shark,Injured,Regular Shark
108,Unprovoked,,F,12,Bite to left thigh / minor injury,N,,Injured,Regular Shark
109,Unprovoked,Snorkeling,F,,Foot & ankle injured,N,,Injured,Regular Shark
110,Unprovoked,Spearfishing,M,,Severe lacerations to left hand,N,,Injured,Regular Shark
111,Unprovoked,Surfing,M,37,Torso bitten,N,,Injured,Regular Shark
112,Unprovoked,,F,,Minor injury to hand,N,Sandtiger shark  2',Injured,Regular Shark
113,Unprovoked,Swimming,F,,Abrasion to arm from shark's rough skin,N,Blue shark 6',Injured,Regular Shark
114,Unprovoked,,F,40,Foot bitten,N,"""A small shark""",Injured,Regular Shark
115,Invalid,Swimming,F,8,Foot injured,,Shark involvement not confirmed,Injured,Regular Shark
119,Unprovoked,Surfing,M,,"Minor injury, grazed by shark",N,,Injured,Regular Shark
121,Unprovoked,Swimming,M,46,Lower legs bitten,N,"Bull shark, 4' to 5'",Injured,Regular Shark
122,Provoked,Fishing,M,32,Hand bitten by hooked shark PROVOKED INCIDENT,N,"Tiger shark, 100 kg",Injured,Tiger Shark
124,Invalid,Fishing,,,"Skull found in shark, a probable drowning & scavenging",,Shark involvement prior to death not confirmed,Injured,Regular Shark
125,Invalid,Fishing,M,,"Arm injured by hook, not by a shark",,No shark invovlement ,Injured,Regular Shark
126,Unprovoked,Swimming,F,16,Left foot bitten,N,,Injured,Regular Shark
127,Unprovoked,Surfing,M,,1 to 2-inch laceration behind knee,N,,Injured,Regular Shark
128,Unprovoked,Swimming,F,14,Leg bitten,N,"Bull shark, 4' to 5'",Injured,Regular Shark
130,Unprovoked,Swimming,M,82,2-inch laceration to hand,N,,Injured,Regular Shark
