,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Species ,Injuries,Species,Arms,Legs,Chest,Thighs,Hands,Heads,Feet,Fingers,Necks,Backs,Shoulders,Toes
1,Unprovoked,Standing,F,11,Minor injury to left thigh,N,,Injured,Regular Shark,False,False,False,True,False,False,False,False,False,False,False,False
2,Invalid,Surfing,M,48,Injury to left lower leg from surfboard skeg,N,,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
3,Unprovoked,Surfing,M,,Minor injury to lower leg,N,2 m shark,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
4,Provoked,Free diving,M,,Lacerations to leg & hand shark PROVOKED INCIDENT,N,"Tiger shark, 3m",Injured,Tiger Shark,False,True,False,False,True,False,False,False,False,False,False,False
6,Unprovoked,Swimming,M,18,FATAL,Y,Tiger shark,Injured,Tiger Shark,False,False,False,False,False,False,False,False,False,False,False,False
7,Unprovoked,Fishing,M,52,Minor injury to foot. PROVOKED INCIDENT,N,"Lemon shark, 3'",Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
8,Unprovoked,Walking,M,15,Lower left leg bitten,N,"Bull shark, 6'",Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
9,Unprovoked,Standing,M,12,Minor injury to foot,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
10,Provoked,Feeding sharks,M,32,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,Grey reef shark,Injured,Regular Shark,False,False,False,False,True,False,False,False,False,False,False,False
11,Unprovoked,Boogie boarding,M,10,Injuries to lower right leg and foot,N,,Injured,Regular Shark,False,True,False,False,False,False,True,False,False,False,False,False
12,Unprovoked,Swimming,M,10,Severe bite to right forearm,N,,Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
13,Invalid,Fishing,M,21,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,Invalid incident,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
14,Provoked,Feeding sharks,F,34,Shallow lacerations to finger PROVOKED INCIDENT,N,"Tawny nurse shark, 2m",Injured,Regular Shark,False,False,False,False,False,False,False,True,False,False,False,False
15,Unprovoked,Surfing,M,,"Minor injury, marks on board",N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
17,Unprovoked,Swimming,M,,Minor injury to ankle,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
23,Unprovoked,Fishing,M,32,5-inch cut to hand,N,Tiger shark,Injured,Tiger Shark,False,False,False,False,True,False,False,False,False,False,False,False
25,Unprovoked,Body boarding,M,29,Lacerations to right lower leg,N,6' shark,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
26,Unprovoked,Swimming,M,54,Lacerations to foot and ankle,N,Juvenile bull shark,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
27,Unprovoked,Swimming,M,34,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",,,Injured,Regular Shark,True,True,False,False,False,False,False,False,False,False,False,False
28,Unprovoked,Surfing,M,41,Laceration to right thigh,N,,Injured,Regular Shark,False,False,False,True,False,False,False,False,False,False,False,False
29,Unprovoked,Surfing,M,37,Lacerations to legs,N,,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
